"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Test - get list ","testcase.ACS","Thu May 22 18:34:09 CST 2025","skipped","Thu May 22 18:34:09 CST 2025","TestAPI","test_api_swagger","",""
"","593","Test - get provisioning record list","testcase.ACS","Thu May 22 18:35:41 CST 2025","passed","Thu May 22 18:35:42 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","542","Test - get all the system groups with different params:None","testcase.ACS","Thu May 22 18:35:56 CST 2025","passed","Thu May 22 18:35:57 CST 2025","TestSystemGroup","test_system_group","",""
"","557","Test - Query device count with different paramters:{'createTime': '2025-03-28T07:10:00.069Z'}","testcase.ACS","Thu May 22 18:34:31 CST 2025","passed","Thu May 22 18:34:32 CST 2025","TestDevice","test_device","",""
"","557","Test - Query device count with different paramters:{'additionalHardwareVersion': ''}","testcase.ACS","Thu May 22 18:34:39 CST 2025","passed","Thu May 22 18:34:40 CST 2025","TestDevice","test_device","",""
"","0","Test - create record ","testcase.ACS","Thu May 22 18:34:10 CST 2025","broken","Thu May 22 18:34:10 CST 2025","TestConfigurationProfile","test_configuration_profile","",""
"","487","Test - Query device count with different paramters:{'modelName': 'GS4229E'}","testcase.ACS","Thu May 22 18:34:19 CST 2025","passed","Thu May 22 18:34:19 CST 2025","TestDevice","test_device","",""
"","2695","Test - create provisioning record and get id","testcase.ACS","Thu May 22 18:35:49 CST 2025","failed","Thu May 22 18:35:52 CST 2025","TestSystemGroup","test_system_group","",""
"","555","Test - create group and filter","testcase.ACS","Thu May 22 18:35:58 CST 2025","passed","Thu May 22 18:35:58 CST 2025","TestSystemGroup","test_system_group","",""
"","488","Test - Query device with different paramters:{'hardwareVersion': '3000307602'}","testcase.ACS","Thu May 22 18:34:45 CST 2025","passed","Thu May 22 18:34:46 CST 2025","TestDevice","test_device","",""
"","550","Test - Query device count with different paramters:{'udpConnectionRequestAddr': '64.136.96.5:64083'}","testcase.ACS","Thu May 22 18:34:37 CST 2025","passed","Thu May 22 18:34:37 CST 2025","TestDevice","test_device","",""
"","509","Test - Query device count with different paramters:{'lastBootTime': '2025-04-09T03:35:35.238Z'}","testcase.ACS","Thu May 22 18:34:20 CST 2025","failed","Thu May 22 18:34:21 CST 2025","TestDevice","test_device","",""
